year,level_1,level_2,value
1990,Brides Aged 25-29 Years,Grooms Aged 45-49 Years,25
1990,Brides Aged 25-29 Years,Grooms Aged 50-54 Years,11
1990,Brides Aged 25-29 Years,Grooms Aged 55-59 Years,6
1990,Brides Aged 25-29 Years,Grooms Aged 60 Years & Over,3
1990,Brides Aged 30-34 Years,Grooms Aged Under 20 Years,0
1990,Brides Aged 30-34 Years,Grooms Aged 20-24 Years,47
1990,Brides Aged 30-34 Years,Grooms Aged 25-29 Years,390
1990,Brides Aged 30-34 Years,Grooms Aged 30-34 Years,1160
1990,Brides Aged 30-34 Years,Grooms Aged 35-39 Years,628
1990,Brides Aged 30-34 Years,Grooms Aged 40-44 Years,160
1990,Brides Aged 30-34 Years,Grooms Aged 45-49 Years,49
1990,Brides Aged 30-34 Years,Grooms Aged 50-54 Years,19
1990,Brides Aged 30-34 Years,Grooms Aged 55-59 Years,5
1990,Brides Aged 30-34 Years,Grooms Aged 60 Years & Over,4
1990,Brides Aged 35-39 Years,Grooms Aged Under 20 Years,0
1990,Brides Aged 35-39 Years,Grooms Aged 20-24 Years,9
1990,Brides Aged 35-39 Years,Grooms Aged 25-29 Years,50
1990,Brides Aged 35-39 Years,Grooms Aged 30-34 Years,161
1990,Brides Aged 35-39 Years,Grooms Aged 35-39 Years,298
1990,Brides Aged 35-39 Years,Grooms Aged 40-44 Years,172
1990,Brides Aged 35-39 Years,Grooms Aged 45-49 Years,61
1990,Brides Aged 35-39 Years,Grooms Aged 50-54 Years,24
1990,Brides Aged 35-39 Years,Grooms Aged 55-59 Years,9
1990,Brides Aged 35-39 Years,Grooms Aged 60 Years & Over,7
1990,Brides Aged 40-44 Years,Grooms Aged Under 20 Years,0
1990,Brides Aged 40-44 Years,Grooms Aged 20-24 Years,0
1990,Brides Aged 40-44 Years,Grooms Aged 25-29 Years,7
1990,Brides Aged 40-44 Years,Grooms Aged 30-34 Years,20
1990,Brides Aged 40-44 Years,Grooms Aged 35-39 Years,49
1990,Brides Aged 40-44 Years,Grooms Aged 40-44 Years,76
1990,Brides Aged 40-44 Years,Grooms Aged 45-49 Years,39
1990,Brides Aged 40-44 Years,Grooms Aged 50-54 Years,21
1990,Brides Aged 40-44 Years,Grooms Aged 55-59 Years,13
1990,Brides Aged 40-44 Years,Grooms Aged 60 Years & Over,7
1990,Brides Aged 45-49 Years,Grooms Aged Under 20 Years,0
1990,Brides Aged 45-49 Years,Grooms Aged 20-24 Years,0
1990,Brides Aged 45-49 Years,Grooms Aged 25-29 Years,0
1990,Brides Aged 45-49 Years,Grooms Aged 30-34 Years,4
1990,Brides Aged 45-49 Years,Grooms Aged 35-39 Years,8
1990,Brides Aged 45-49 Years,Grooms Aged 40-44 Years,9
1990,Brides Aged 45-49 Years,Grooms Aged 45-49 Years,9
1990,Brides Aged 45-49 Years,Grooms Aged 50-54 Years,17
1990,Brides Aged 45-49 Years,Grooms Aged 55-59 Years,9
1990,Brides Aged 45-49 Years,Grooms Aged 60 Years & Over,6
1990,Brides Aged 50-54 Years,Grooms Aged Under 20 Years,0
1990,Brides Aged 50-54 Years,Grooms Aged 20-24 Years,0
1990,Brides Aged 50-54 Years,Grooms Aged 25-29 Years,0
1990,Brides Aged 50-54 Years,Grooms Aged 30-34 Years,0
1990,Brides Aged 50-54 Years,Grooms Aged 35-39 Years,1
1990,Brides Aged 50-54 Years,Grooms Aged 40-44 Years,1
1990,Brides Aged 50-54 Years,Grooms Aged 45-49 Years,6
1990,Brides Aged 50-54 Years,Grooms Aged 50-54 Years,6
1990,Brides Aged 50-54 Years,Grooms Aged 55-59 Years,5
1990,Brides Aged 50-54 Years,Grooms Aged 60 Years & Over,8
1990,Brides Aged 55-59 Years,Grooms Aged Under 20 Years,0
1990,Brides Aged 55-59 Years,Grooms Aged 20-24 Years,0
1990,Brides Aged 55-59 Years,Grooms Aged 25-29 Years,0
1990,Brides Aged 55-59 Years,Grooms Aged 30-34 Years,0
1990,Brides Aged 55-59 Years,Grooms Aged 35-39 Years,0
1990,Brides Aged 55-59 Years,Grooms Aged 40-44 Years,0
1990,Brides Aged 55-59 Years,Grooms Aged 45-49 Years,0
1990,Brides Aged 55-59 Years,Grooms Aged 50-54 Years,0
1990,Brides Aged 55-59 Years,Grooms Aged 55-59 Years,2
1990,Brides Aged 55-59 Years,Grooms Aged 60 Years & Over,5
1990,Brides Aged 60 Years & Over,Grooms Aged Under 20 Years,0
1990,Brides Aged 60 Years & Over,Grooms Aged 20-24 Years,0
1990,Brides Aged 60 Years & Over,Grooms Aged 25-29 Years,0
1990,Brides Aged 60 Years & Over,Grooms Aged 30-34 Years,1
1990,Brides Aged 60 Years & Over,Grooms Aged 35-39 Years,0
1990,Brides Aged 60 Years & Over,Grooms Aged 40-44 Years,0
1990,Brides Aged 60 Years & Over,Grooms Aged 45-49 Years,0
1990,Brides Aged 60 Years & Over,Grooms Aged 50-54 Years,0
1990,Brides Aged 60 Years & Over,Grooms Aged 55-59 Years,0
1990,Brides Aged 60 Years & Over,Grooms Aged 60 Years & Over,6
1991,Total,Grooms Aged Under 20 Years,89
1991,Total,Grooms Aged 20-24 Years,3051
1991,Total,Grooms Aged 25-29 Years,9005
1991,Total,Grooms Aged 30-34 Years,5079
1991,Total,Grooms Aged 35-39 Years,1736
1991,Total,Grooms Aged 40-44 Years,586
1991,Total,Grooms Aged 45-49 Years,203
1991,Total,Grooms Aged 50-54 Years,123
1991,Total,Grooms Aged 55-59 Years,59
1991,Total,Grooms Aged 60 Years & Over,54
1991,Brides Aged Under 20 Years,Grooms Aged Under 20 Years,68
1991,Brides Aged Under 20 Years,Grooms Aged 20-24 Years,321
1991,Brides Aged Under 20 Years,Grooms Aged 25-29 Years,246
1991,Brides Aged Under 20 Years,Grooms Aged 30-34 Years,66
1991,Brides Aged Under 20 Years,Grooms Aged 35-39 Years,7
1991,Brides Aged Under 20 Years,Grooms Aged 40-44 Years,6
1991,Brides Aged Under 20 Years,Grooms Aged 45-49 Years,1
1991,Brides Aged Under 20 Years,Grooms Aged 50-54 Years,1
1991,Brides Aged Under 20 Years,Grooms Aged 55-59 Years,0
1991,Brides Aged Under 20 Years,Grooms Aged 60 Years & Over,0
1991,Brides Aged 20-24 Years,Grooms Aged Under 20 Years,18
1991,Brides Aged 20-24 Years,Grooms Aged 20-24 Years,2234
1991,Brides Aged 20-24 Years,Grooms Aged 25-29 Years,3873
1991,Brides Aged 20-24 Years,Grooms Aged 30-34 Years,1107
1991,Brides Aged 20-24 Years,Grooms Aged 35-39 Years,163
1991,Brides Aged 20-24 Years,Grooms Aged 40-44 Years,32
1991,Brides Aged 20-24 Years,Grooms Aged 45-49 Years,8
1991,Brides Aged 20-24 Years,Grooms Aged 50-54 Years,5
1991,Brides Aged 20-24 Years,Grooms Aged 55-59 Years,0
1991,Brides Aged 20-24 Years,Grooms Aged 60 Years & Over,0
1991,Brides Aged 25-29 Years,Grooms Aged Under 20 Years,3
1991,Brides Aged 25-29 Years,Grooms Aged 20-24 Years,454
1991,Brides Aged 25-29 Years,Grooms Aged 25-29 Years,4417
1991,Brides Aged 25-29 Years,Grooms Aged 30-34 Years,2485
1991,Brides Aged 25-29 Years,Grooms Aged 35-39 Years,530
1991,Brides Aged 25-29 Years,Grooms Aged 40-44 Years,110
1991,Brides Aged 25-29 Years,Grooms Aged 45-49 Years,25
1991,Brides Aged 25-29 Years,Grooms Aged 50-54 Years,11
1991,Brides Aged 25-29 Years,Grooms Aged 55-59 Years,6
1991,Brides Aged 25-29 Years,Grooms Aged 60 Years & Over,5
1991,Brides Aged 30-34 Years,Grooms Aged Under 20 Years,0
1991,Brides Aged 30-34 Years,Grooms Aged 20-24 Years,35
1991,Brides Aged 30-34 Years,Grooms Aged 25-29 Years,421
1991,Brides Aged 30-34 Years,Grooms Aged 30-34 Years,1222
1991,Brides Aged 30-34 Years,Grooms Aged 35-39 Years,652
1991,Brides Aged 30-34 Years,Grooms Aged 40-44 Years,170
1991,Brides Aged 30-34 Years,Grooms Aged 45-49 Years,37
1991,Brides Aged 30-34 Years,Grooms Aged 50-54 Years,18
1991,Brides Aged 30-34 Years,Grooms Aged 55-59 Years,6
1991,Brides Aged 30-34 Years,Grooms Aged 60 Years & Over,3
1991,Brides Aged 35-39 Years,Grooms Aged Under 20 Years,0
1991,Brides Aged 35-39 Years,Grooms Aged 20-24 Years,5
1991,Brides Aged 35-39 Years,Grooms Aged 25-29 Years,39
1991,Brides Aged 35-39 Years,Grooms Aged 30-34 Years,169
1991,Brides Aged 35-39 Years,Grooms Aged 35-39 Years,343
1991,Brides Aged 35-39 Years,Grooms Aged 40-44 Years,172
1991,Brides Aged 35-39 Years,Grooms Aged 45-49 Years,52
1991,Brides Aged 35-39 Years,Grooms Aged 50-54 Years,23
1991,Brides Aged 35-39 Years,Grooms Aged 55-59 Years,7
1991,Brides Aged 35-39 Years,Grooms Aged 60 Years & Over,8
1991,Brides Aged 40-44 Years,Grooms Aged Under 20 Years,0
1991,Brides Aged 40-44 Years,Grooms Aged 20-24 Years,1
1991,Brides Aged 40-44 Years,Grooms Aged 25-29 Years,9
1991,Brides Aged 40-44 Years,Grooms Aged 30-34 Years,30
1991,Brides Aged 40-44 Years,Grooms Aged 35-39 Years,35
1991,Brides Aged 40-44 Years,Grooms Aged 40-44 Years,74
1991,Brides Aged 40-44 Years,Grooms Aged 45-49 Years,53
1991,Brides Aged 40-44 Years,Grooms Aged 50-54 Years,33
1991,Brides Aged 40-44 Years,Grooms Aged 55-59 Years,17
1991,Brides Aged 40-44 Years,Grooms Aged 60 Years & Over,9
1991,Brides Aged 45-49 Years,Grooms Aged Under 20 Years,0
1991,Brides Aged 45-49 Years,Grooms Aged 20-24 Years,0
1991,Brides Aged 45-49 Years,Grooms Aged 25-29 Years,0
1991,Brides Aged 45-49 Years,Grooms Aged 30-34 Years,0
1991,Brides Aged 45-49 Years,Grooms Aged 35-39 Years,5
1991,Brides Aged 45-49 Years,Grooms Aged 40-44 Years,17
1991,Brides Aged 45-49 Years,Grooms Aged 45-49 Years,21
1991,Brides Aged 45-49 Years,Grooms Aged 50-54 Years,19
1991,Brides Aged 45-49 Years,Grooms Aged 55-59 Years,10
1991,Brides Aged 45-49 Years,Grooms Aged 60 Years & Over,5
1991,Brides Aged 50-54 Years,Grooms Aged Under 20 Years,0
1991,Brides Aged 50-54 Years,Grooms Aged 20-24 Years,1
1991,Brides Aged 50-54 Years,Grooms Aged 25-29 Years,0
1991,Brides Aged 50-54 Years,Grooms Aged 30-34 Years,0
1991,Brides Aged 50-54 Years,Grooms Aged 35-39 Years,0
1991,Brides Aged 50-54 Years,Grooms Aged 40-44 Years,5
1991,Brides Aged 50-54 Years,Grooms Aged 45-49 Years,6
1991,Brides Aged 50-54 Years,Grooms Aged 50-54 Years,12
1991,Brides Aged 50-54 Years,Grooms Aged 55-59 Years,7
1991,Brides Aged 50-54 Years,Grooms Aged 60 Years & Over,12
1991,Brides Aged 55-59 Years,Grooms Aged Under 20 Years,0
1991,Brides Aged 55-59 Years,Grooms Aged 20-24 Years,0
1991,Brides Aged 55-59 Years,Grooms Aged 25-29 Years,0
1991,Brides Aged 55-59 Years,Grooms Aged 30-34 Years,0
1991,Brides Aged 55-59 Years,Grooms Aged 35-39 Years,1
1991,Brides Aged 55-59 Years,Grooms Aged 40-44 Years,0
1991,Brides Aged 55-59 Years,Grooms Aged 45-49 Years,0
1991,Brides Aged 55-59 Years,Grooms Aged 50-54 Years,1
1991,Brides Aged 55-59 Years,Grooms Aged 55-59 Years,5
1991,Brides Aged 55-59 Years,Grooms Aged 60 Years & Over,7
1991,Brides Aged 60 Years & Over,Grooms Aged Under 20 Years,0
1991,Brides Aged 60 Years & Over,Grooms Aged 20-24 Years,0
1991,Brides Aged 60 Years & Over,Grooms Aged 25-29 Years,0
1991,Brides Aged 60 Years & Over,Grooms Aged 30-34 Years,0
1991,Brides Aged 60 Years & Over,Grooms Aged 35-39 Years,0
1991,Brides Aged 60 Years & Over,Grooms Aged 40-44 Years,0
1991,Brides Aged 60 Years & Over,Grooms Aged 45-49 Years,0
1991,Brides Aged 60 Years & Over,Grooms Aged 50-54 Years,0
1991,Brides Aged 60 Years & Over,Grooms Aged 55-59 Years,1
1991,Brides Aged 60 Years & Over,Grooms Aged 60 Years & Over,5
1992,Total,Grooms Aged Under 20 Years,89
1992,Total,Grooms Aged 20-24 Years,2854
1992,Total,Grooms Aged 25-29 Years,9311
1992,Total,Grooms Aged 30-34 Years,5507
1992,Total,Grooms Aged 35-39 Years,2075
1992,Total,Grooms Aged 40-44 Years,682
1992,Total,Grooms Aged 45-49 Years,252
1992,Total,Grooms Aged 50-54 Years,137
1992,Total,Grooms Aged 55-59 Years,60
1992,Total,Grooms Aged 60 Years & Over,58
1992,Brides Aged Under 20 Years,Grooms Aged Under 20 Years,68
1992,Brides Aged Under 20 Years,Grooms Aged 20-24 Years,341
1992,Brides Aged Under 20 Years,Grooms Aged 25-29 Years,234
1992,Brides Aged Under 20 Years,Grooms Aged 30-34 Years,76
1992,Brides Aged Under 20 Years,Grooms Aged 35-39 Years,22
1992,Brides Aged Under 20 Years,Grooms Aged 40-44 Years,6
1992,Brides Aged Under 20 Years,Grooms Aged 45-49 Years,1
1992,Brides Aged Under 20 Years,Grooms Aged 50-54 Years,1
1992,Brides Aged Under 20 Years,Grooms Aged 55-59 Years,0
1992,Brides Aged Under 20 Years,Grooms Aged 60 Years & Over,0
1992,Brides Aged 20-24 Years,Grooms Aged Under 20 Years,16
1992,Brides Aged 20-24 Years,Grooms Aged 20-24 Years,2028
1992,Brides Aged 20-24 Years,Grooms Aged 25-29 Years,4066
1992,Brides Aged 20-24 Years,Grooms Aged 30-34 Years,1182
1992,Brides Aged 20-24 Years,Grooms Aged 35-39 Years,229
1992,Brides Aged 20-24 Years,Grooms Aged 40-44 Years,40
1992,Brides Aged 20-24 Years,Grooms Aged 45-49 Years,17
1992,Brides Aged 20-24 Years,Grooms Aged 50-54 Years,3
1992,Brides Aged 20-24 Years,Grooms Aged 55-59 Years,1
1992,Brides Aged 20-24 Years,Grooms Aged 60 Years & Over,1
1992,Brides Aged 25-29 Years,Grooms Aged Under 20 Years,5
1992,Brides Aged 25-29 Years,Grooms Aged 20-24 Years,437
1992,Brides Aged 25-29 Years,Grooms Aged 25-29 Years,4508
1992,Brides Aged 25-29 Years,Grooms Aged 30-34 Years,2729
1992,Brides Aged 25-29 Years,Grooms Aged 35-39 Years,629
1992,Brides Aged 25-29 Years,Grooms Aged 40-44 Years,130
1992,Brides Aged 25-29 Years,Grooms Aged 45-49 Years,24
1992,Brides Aged 25-29 Years,Grooms Aged 50-54 Years,7
1992,Brides Aged 25-29 Years,Grooms Aged 55-59 Years,8
1992,Brides Aged 25-29 Years,Grooms Aged 60 Years & Over,1
1992,Brides Aged 30-34 Years,Grooms Aged Under 20 Years,0
1992,Brides Aged 30-34 Years,Grooms Aged 20-24 Years,40
1992,Brides Aged 30-34 Years,Grooms Aged 25-29 Years,435
1992,Brides Aged 30-34 Years,Grooms Aged 30-34 Years,1290
1992,Brides Aged 30-34 Years,Grooms Aged 35-39 Years,767
1992,Brides Aged 30-34 Years,Grooms Aged 40-44 Years,195
1992,Brides Aged 30-34 Years,Grooms Aged 45-49 Years,61
1992,Brides Aged 30-34 Years,Grooms Aged 50-54 Years,20
1992,Brides Aged 30-34 Years,Grooms Aged 55-59 Years,5
1992,Brides Aged 30-34 Years,Grooms Aged 60 Years & Over,8
1992,Brides Aged 35-39 Years,Grooms Aged Under 20 Years,0
1992,Brides Aged 35-39 Years,Grooms Aged 20-24 Years,7
1992,Brides Aged 35-39 Years,Grooms Aged 25-29 Years,61
1992,Brides Aged 35-39 Years,Grooms Aged 30-34 Years,192
1992,Brides Aged 35-39 Years,Grooms Aged 35-39 Years,349
1992,Brides Aged 35-39 Years,Grooms Aged 40-44 Years,193
1992,Brides Aged 35-39 Years,Grooms Aged 45-49 Years,73
1992,Brides Aged 35-39 Years,Grooms Aged 50-54 Years,34
1992,Brides Aged 35-39 Years,Grooms Aged 55-59 Years,12
1992,Brides Aged 35-39 Years,Grooms Aged 60 Years & Over,7
1992,Brides Aged 40-44 Years,Grooms Aged Under 20 Years,0
1992,Brides Aged 40-44 Years,Grooms Aged 20-24 Years,1
1992,Brides Aged 40-44 Years,Grooms Aged 25-29 Years,5
1992,Brides Aged 40-44 Years,Grooms Aged 30-34 Years,31
1992,Brides Aged 40-44 Years,Grooms Aged 35-39 Years,66
1992,Brides Aged 40-44 Years,Grooms Aged 40-44 Years,101
1992,Brides Aged 40-44 Years,Grooms Aged 45-49 Years,59
1992,Brides Aged 40-44 Years,Grooms Aged 50-54 Years,34
1992,Brides Aged 40-44 Years,Grooms Aged 55-59 Years,16
1992,Brides Aged 40-44 Years,Grooms Aged 60 Years & Over,12
1992,Brides Aged 45-49 Years,Grooms Aged Under 20 Years,0
1992,Brides Aged 45-49 Years,Grooms Aged 20-24 Years,0
1992,Brides Aged 45-49 Years,Grooms Aged 25-29 Years,2
1992,Brides Aged 45-49 Years,Grooms Aged 30-34 Years,6
1992,Brides Aged 45-49 Years,Grooms Aged 35-39 Years,13
1992,Brides Aged 45-49 Years,Grooms Aged 40-44 Years,15
1992,Brides Aged 45-49 Years,Grooms Aged 45-49 Years,12
1992,Brides Aged 45-49 Years,Grooms Aged 50-54 Years,23
1992,Brides Aged 45-49 Years,Grooms Aged 55-59 Years,12
1992,Brides Aged 45-49 Years,Grooms Aged 60 Years & Over,5
1992,Brides Aged 50-54 Years,Grooms Aged Under 20 Years,0
1992,Brides Aged 50-54 Years,Grooms Aged 20-24 Years,0
1992,Brides Aged 50-54 Years,Grooms Aged 25-29 Years,0
1992,Brides Aged 50-54 Years,Grooms Aged 30-34 Years,1
1992,Brides Aged 50-54 Years,Grooms Aged 35-39 Years,0
1992,Brides Aged 50-54 Years,Grooms Aged 40-44 Years,2
1992,Brides Aged 50-54 Years,Grooms Aged 45-49 Years,3
1992,Brides Aged 50-54 Years,Grooms Aged 50-54 Years,11
1992,Brides Aged 50-54 Years,Grooms Aged 55-59 Years,4
1992,Brides Aged 50-54 Years,Grooms Aged 60 Years & Over,16
1992,Brides Aged 55-59 Years,Grooms Aged Under 20 Years,0
1992,Brides Aged 55-59 Years,Grooms Aged 20-24 Years,0
1992,Brides Aged 55-59 Years,Grooms Aged 25-29 Years,0
1992,Brides Aged 55-59 Years,Grooms Aged 30-34 Years,0
1992,Brides Aged 55-59 Years,Grooms Aged 35-39 Years,0
1992,Brides Aged 55-59 Years,Grooms Aged 40-44 Years,0
1992,Brides Aged 55-59 Years,Grooms Aged 45-49 Years,2
1992,Brides Aged 55-59 Years,Grooms Aged 50-54 Years,2
1992,Brides Aged 55-59 Years,Grooms Aged 55-59 Years,2
1992,Brides Aged 55-59 Years,Grooms Aged 60 Years & Over,4
1992,Brides Aged 60 Years & Over,Grooms Aged Under 20 Years,0
1992,Brides Aged 60 Years & Over,Grooms Aged 20-24 Years,0
1992,Brides Aged 60 Years & Over,Grooms Aged 25-29 Years,0
1992,Brides Aged 60 Years & Over,Grooms Aged 30-34 Years,0
1992,Brides Aged 60 Years & Over,Grooms Aged 35-39 Years,0
1992,Brides Aged 60 Years & Over,Grooms Aged 40-44 Years,0
1992,Brides Aged 60 Years & Over,Grooms Aged 45-49 Years,0
1992,Brides Aged 60 Years & Over,Grooms Aged 50-54 Years,2
1992,Brides Aged 60 Years & Over,Grooms Aged 55-59 Years,0
1992,Brides Aged 60 Years & Over,Grooms Aged 60 Years & Over,4
1993,Total,Grooms Aged Under 20 Years,89
1993,Total,Grooms Aged 20-24 Years,2635
1993,Total,Grooms Aged 25-29 Years,9047
1993,Total,Grooms Aged 30-34 Years,5496
1993,Total,Grooms Aged 35-39 Years,2118
1993,Total,Grooms Aged 40-44 Years,740
1993,Total,Grooms Aged 45-49 Years,279
1993,Total,Grooms Aged 50-54 Years,147
1993,Total,Grooms Aged 55-59 Years,80
1993,Total,Grooms Aged 60 Years & Over,61
1993,Brides Aged Under 20 Years,Grooms Aged Under 20 Years,57
1993,Brides Aged Under 20 Years,Grooms Aged 20-24 Years,276
1993,Brides Aged Under 20 Years,Grooms Aged 25-29 Years,187
1993,Brides Aged Under 20 Years,Grooms Aged 30-34 Years,74
1993,Brides Aged Under 20 Years,Grooms Aged 35-39 Years,15
1993,Brides Aged Under 20 Years,Grooms Aged 40-44 Years,3
1993,Brides Aged Under 20 Years,Grooms Aged 45-49 Years,0
1993,Brides Aged Under 20 Years,Grooms Aged 50-54 Years,0
1993,Brides Aged Under 20 Years,Grooms Aged 55-59 Years,1
1993,Brides Aged Under 20 Years,Grooms Aged 60 Years & Over,0
1993,Brides Aged 20-24 Years,Grooms Aged Under 20 Years,27
1993,Brides Aged 20-24 Years,Grooms Aged 20-24 Years,1912
1993,Brides Aged 20-24 Years,Grooms Aged 25-29 Years,3838
1993,Brides Aged 20-24 Years,Grooms Aged 30-34 Years,1269
1993,Brides Aged 20-24 Years,Grooms Aged 35-39 Years,233
1993,Brides Aged 20-24 Years,Grooms Aged 40-44 Years,66
1993,Brides Aged 20-24 Years,Grooms Aged 45-49 Years,10
1993,Brides Aged 20-24 Years,Grooms Aged 50-54 Years,6
1993,Brides Aged 20-24 Years,Grooms Aged 55-59 Years,1
1993,Brides Aged 20-24 Years,Grooms Aged 60 Years & Over,1
1993,Brides Aged 25-29 Years,Grooms Aged Under 20 Years,5
1993,Brides Aged 25-29 Years,Grooms Aged 20-24 Years,403
1993,Brides Aged 25-29 Years,Grooms Aged 25-29 Years,4512
1993,Brides Aged 25-29 Years,Grooms Aged 30-34 Years,2623
1993,Brides Aged 25-29 Years,Grooms Aged 35-39 Years,633
1993,Brides Aged 25-29 Years,Grooms Aged 40-44 Years,130
1993,Brides Aged 25-29 Years,Grooms Aged 45-49 Years,43
1993,Brides Aged 25-29 Years,Grooms Aged 50-54 Years,10
1993,Brides Aged 25-29 Years,Grooms Aged 55-59 Years,2
1993,Brides Aged 25-29 Years,Grooms Aged 60 Years & Over,4
1993,Brides Aged 30-34 Years,Grooms Aged Under 20 Years,0
1993,Brides Aged 30-34 Years,Grooms Aged 20-24 Years,38
1993,Brides Aged 30-34 Years,Grooms Aged 25-29 Years,443
1993,Brides Aged 30-34 Years,Grooms Aged 30-34 Years,1292
1993,Brides Aged 30-34 Years,Grooms Aged 35-39 Years,765
1993,Brides Aged 30-34 Years,Grooms Aged 40-44 Years,200
1993,Brides Aged 30-34 Years,Grooms Aged 45-49 Years,54
1993,Brides Aged 30-34 Years,Grooms Aged 50-54 Years,25
1993,Brides Aged 30-34 Years,Grooms Aged 55-59 Years,9
1993,Brides Aged 30-34 Years,Grooms Aged 60 Years & Over,3
1993,Brides Aged 35-39 Years,Grooms Aged Under 20 Years,0
1993,Brides Aged 35-39 Years,Grooms Aged 20-24 Years,4
1993,Brides Aged 35-39 Years,Grooms Aged 25-29 Years,56
1993,Brides Aged 35-39 Years,Grooms Aged 30-34 Years,202
1993,Brides Aged 35-39 Years,Grooms Aged 35-39 Years,392
1993,Brides Aged 35-39 Years,Grooms Aged 40-44 Years,213
1993,Brides Aged 35-39 Years,Grooms Aged 45-49 Years,73
1993,Brides Aged 35-39 Years,Grooms Aged 50-54 Years,28
1993,Brides Aged 35-39 Years,Grooms Aged 55-59 Years,20
1993,Brides Aged 35-39 Years,Grooms Aged 60 Years & Over,9
1993,Brides Aged 40-44 Years,Grooms Aged Under 20 Years,0
1993,Brides Aged 40-44 Years,Grooms Aged 20-24 Years,1
1993,Brides Aged 40-44 Years,Grooms Aged 25-29 Years,11
1993,Brides Aged 40-44 Years,Grooms Aged 30-34 Years,31
1993,Brides Aged 40-44 Years,Grooms Aged 35-39 Years,56
1993,Brides Aged 40-44 Years,Grooms Aged 40-44 Years,119
1993,Brides Aged 40-44 Years,Grooms Aged 45-49 Years,61
1993,Brides Aged 40-44 Years,Grooms Aged 50-54 Years,34
1993,Brides Aged 40-44 Years,Grooms Aged 55-59 Years,16
1993,Brides Aged 40-44 Years,Grooms Aged 60 Years & Over,8
1993,Brides Aged 45-49 Years,Grooms Aged Under 20 Years,0
1993,Brides Aged 45-49 Years,Grooms Aged 20-24 Years,1
1993,Brides Aged 45-49 Years,Grooms Aged 25-29 Years,0
1993,Brides Aged 45-49 Years,Grooms Aged 30-34 Years,5
1993,Brides Aged 45-49 Years,Grooms Aged 35-39 Years,16
1993,Brides Aged 45-49 Years,Grooms Aged 40-44 Years,7
1993,Brides Aged 45-49 Years,Grooms Aged 45-49 Years,33
1993,Brides Aged 45-49 Years,Grooms Aged 50-54 Years,28
1993,Brides Aged 45-49 Years,Grooms Aged 55-59 Years,17
1993,Brides Aged 45-49 Years,Grooms Aged 60 Years & Over,14
1993,Brides Aged 50-54 Years,Grooms Aged Under 20 Years,0
1993,Brides Aged 50-54 Years,Grooms Aged 20-24 Years,0
1993,Brides Aged 50-54 Years,Grooms Aged 25-29 Years,0
1993,Brides Aged 50-54 Years,Grooms Aged 30-34 Years,0
1993,Brides Aged 50-54 Years,Grooms Aged 35-39 Years,7
1993,Brides Aged 50-54 Years,Grooms Aged 40-44 Years,2
1993,Brides Aged 50-54 Years,Grooms Aged 45-49 Years,4
1993,Brides Aged 50-54 Years,Grooms Aged 50-54 Years,12
1993,Brides Aged 50-54 Years,Grooms Aged 55-59 Years,10
1993,Brides Aged 50-54 Years,Grooms Aged 60 Years & Over,9
1993,Brides Aged 55-59 Years,Grooms Aged Under 20 Years,0
1993,Brides Aged 55-59 Years,Grooms Aged 20-24 Years,0
1993,Brides Aged 55-59 Years,Grooms Aged 25-29 Years,0
1993,Brides Aged 55-59 Years,Grooms Aged 30-34 Years,0
1993,Brides Aged 55-59 Years,Grooms Aged 35-39 Years,1
1993,Brides Aged 55-59 Years,Grooms Aged 40-44 Years,0
1993,Brides Aged 55-59 Years,Grooms Aged 45-49 Years,1
1993,Brides Aged 55-59 Years,Grooms Aged 50-54 Years,2
1993,Brides Aged 55-59 Years,Grooms Aged 55-59 Years,2
1993,Brides Aged 55-59 Years,Grooms Aged 60 Years & Over,7
1993,Brides Aged 60 Years & Over,Grooms Aged Under 20 Years,0
1993,Brides Aged 60 Years & Over,Grooms Aged 20-24 Years,0
1993,Brides Aged 60 Years & Over,Grooms Aged 25-29 Years,0
1993,Brides Aged 60 Years & Over,Grooms Aged 30-34 Years,0
1993,Brides Aged 60 Years & Over,Grooms Aged 35-39 Years,0
1993,Brides Aged 60 Years & Over,Grooms Aged 40-44 Years,0
1993,Brides Aged 60 Years & Over,Grooms Aged 45-49 Years,0
1993,Brides Aged 60 Years & Over,Grooms Aged 50-54 Years,2
1993,Brides Aged 60 Years & Over,Grooms Aged 55-59 Years,2
1993,Brides Aged 60 Years & Over,Grooms Aged 60 Years & Over,6
1994,Total,Grooms Aged Under 20 Years,79
1994,Total,Grooms Aged 20-24 Years,2639
1994,Total,Grooms Aged 25-29 Years,8533
1994,Total,Grooms Aged 30-34 Years,5311
1994,Total,Grooms Aged 35-39 Years,2232
1994,Total,Grooms Aged 40-44 Years,854
1994,Total,Grooms Aged 45-49 Years,324
1994,Total,Grooms Aged 50-54 Years,128
1994,Total,Grooms Aged 55-59 Years,87
1994,Total,Grooms Aged 60 Years & Over,56
1994,Brides Aged Under 20 Years,Grooms Aged Under 20 Years,55
1994,Brides Aged Under 20 Years,Grooms Aged 20-24 Years,227
1994,Brides Aged Under 20 Years,Grooms Aged 25-29 Years,154
1994,Brides Aged Under 20 Years,Grooms Aged 30-34 Years,66
1994,Brides Aged Under 20 Years,Grooms Aged 35-39 Years,14
1994,Brides Aged Under 20 Years,Grooms Aged 40-44 Years,3
