year,level_1,level_2,value
1983,Brides Aged 50-54 Years,Grooms Aged 35-39 Years,0
1983,Brides Aged 50-54 Years,Grooms Aged 40-44 Years,0
1983,Brides Aged 50-54 Years,Grooms Aged 45-49 Years,5
1983,Brides Aged 50-54 Years,Grooms Aged 50-54 Years,4
1983,Brides Aged 50-54 Years,Grooms Aged 55-59 Years,7
1983,Brides Aged 50-54 Years,Grooms Aged 60 Years & Over,6
1983,Brides Aged 55-59 Years,Grooms Aged Under 20 Years,0
1983,Brides Aged 55-59 Years,Grooms Aged 20-24 Years,0
1983,Brides Aged 55-59 Years,Grooms Aged 25-29 Years,0
1983,Brides Aged 55-59 Years,Grooms Aged 30-34 Years,0
1983,Brides Aged 55-59 Years,Grooms Aged 35-39 Years,0
1983,Brides Aged 55-59 Years,Grooms Aged 40-44 Years,0
1983,Brides Aged 55-59 Years,Grooms Aged 45-49 Years,2
1983,Brides Aged 55-59 Years,Grooms Aged 50-54 Years,5
1983,Brides Aged 55-59 Years,Grooms Aged 55-59 Years,0
1983,Brides Aged 55-59 Years,Grooms Aged 60 Years & Over,5
1983,Brides Aged 60 Years & Over,Grooms Aged Under 20 Years,0
1983,Brides Aged 60 Years & Over,Grooms Aged 20-24 Years,0
1983,Brides Aged 60 Years & Over,Grooms Aged 25-29 Years,0
1983,Brides Aged 60 Years & Over,Grooms Aged 30-34 Years,0
1983,Brides Aged 60 Years & Over,Grooms Aged 35-39 Years,0
1983,Brides Aged 60 Years & Over,Grooms Aged 40-44 Years,0
1983,Brides Aged 60 Years & Over,Grooms Aged 45-49 Years,0
1983,Brides Aged 60 Years & Over,Grooms Aged 50-54 Years,0
1983,Brides Aged 60 Years & Over,Grooms Aged 55-59 Years,2
1983,Brides Aged 60 Years & Over,Grooms Aged 60 Years & Over,7
1984,Total,Grooms Aged Under 20 Years,84
1984,Total,Grooms Aged 20-24 Years,4493
1984,Total,Grooms Aged 25-29 Years,9717
1984,Total,Grooms Aged 30-34 Years,3943
1984,Total,Grooms Aged 35-39 Years,1069
1984,Total,Grooms Aged 40-44 Years,334
1984,Total,Grooms Aged 45-49 Years,179
1984,Total,Grooms Aged 50-54 Years,88
1984,Total,Grooms Aged 55-59 Years,35
1984,Total,Grooms Aged 60 Years & Over,31
1984,Brides Aged Under 20 Years,Grooms Aged Under 20 Years,49
1984,Brides Aged Under 20 Years,Grooms Aged 20-24 Years,718
1984,Brides Aged Under 20 Years,Grooms Aged 25-29 Years,350
1984,Brides Aged Under 20 Years,Grooms Aged 30-34 Years,56
1984,Brides Aged Under 20 Years,Grooms Aged 35-39 Years,9
1984,Brides Aged Under 20 Years,Grooms Aged 40-44 Years,2
1984,Brides Aged Under 20 Years,Grooms Aged 45-49 Years,0
1984,Brides Aged Under 20 Years,Grooms Aged 50-54 Years,0
1984,Brides Aged Under 20 Years,Grooms Aged 55-59 Years,0
1984,Brides Aged Under 20 Years,Grooms Aged 60 Years & Over,0
1984,Brides Aged 20-24 Years,Grooms Aged Under 20 Years,32
1984,Brides Aged 20-24 Years,Grooms Aged 20-24 Years,3322
1984,Brides Aged 20-24 Years,Grooms Aged 25-29 Years,4980
1984,Brides Aged 20-24 Years,Grooms Aged 30-34 Years,976
1984,Brides Aged 20-24 Years,Grooms Aged 35-39 Years,118
1984,Brides Aged 20-24 Years,Grooms Aged 40-44 Years,14
1984,Brides Aged 20-24 Years,Grooms Aged 45-49 Years,4
1984,Brides Aged 20-24 Years,Grooms Aged 50-54 Years,3
1984,Brides Aged 20-24 Years,Grooms Aged 55-59 Years,2
1984,Brides Aged 20-24 Years,Grooms Aged 60 Years & Over,2
1984,Brides Aged 25-29 Years,Grooms Aged Under 20 Years,3
1984,Brides Aged 25-29 Years,Grooms Aged 20-24 Years,419
1984,Brides Aged 25-29 Years,Grooms Aged 25-29 Years,4025
1984,Brides Aged 25-29 Years,Grooms Aged 30-34 Years,1993
1984,Brides Aged 25-29 Years,Grooms Aged 35-39 Years,355
1984,Brides Aged 25-29 Years,Grooms Aged 40-44 Years,60
1984,Brides Aged 25-29 Years,Grooms Aged 45-49 Years,27
1984,Brides Aged 25-29 Years,Grooms Aged 50-54 Years,12
1984,Brides Aged 25-29 Years,Grooms Aged 55-59 Years,3
1984,Brides Aged 25-29 Years,Grooms Aged 60 Years & Over,3
1984,Brides Aged 30-34 Years,Grooms Aged Under 20 Years,0
1984,Brides Aged 30-34 Years,Grooms Aged 20-24 Years,31
1984,Brides Aged 30-34 Years,Grooms Aged 25-29 Years,321
1984,Brides Aged 30-34 Years,Grooms Aged 30-34 Years,807
1984,Brides Aged 30-34 Years,Grooms Aged 35-39 Years,404
1984,Brides Aged 30-34 Years,Grooms Aged 40-44 Years,103
1984,Brides Aged 30-34 Years,Grooms Aged 45-49 Years,44
1984,Brides Aged 30-34 Years,Grooms Aged 50-54 Years,12
1984,Brides Aged 30-34 Years,Grooms Aged 55-59 Years,4
1984,Brides Aged 30-34 Years,Grooms Aged 60 Years & Over,3
1984,Brides Aged 35-39 Years,Grooms Aged Under 20 Years,0
1984,Brides Aged 35-39 Years,Grooms Aged 20-24 Years,3
1984,Brides Aged 35-39 Years,Grooms Aged 25-29 Years,40
1984,Brides Aged 35-39 Years,Grooms Aged 30-34 Years,97
1984,Brides Aged 35-39 Years,Grooms Aged 35-39 Years,168
1984,Brides Aged 35-39 Years,Grooms Aged 40-44 Years,107
1984,Brides Aged 35-39 Years,Grooms Aged 45-49 Years,53
1984,Brides Aged 35-39 Years,Grooms Aged 50-54 Years,27
1984,Brides Aged 35-39 Years,Grooms Aged 55-59 Years,5
1984,Brides Aged 35-39 Years,Grooms Aged 60 Years & Over,6
